composition,Mean VEC,electronegativity_difference,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Be1 Fe1 Mo1 Ni1 Ti1 V1,5.8333,0.3867,24.1667,211.8333,-17.2222,14.8967,1.5883,85.1667,-0.0655,0.1376,2019.8333,4.8433,7.5895,0.0959
Ag0.28 Al1.39 Co1.94 Fe1.39 Mo0.5 Nb0.33 V1.77,6.4908,0.3886,17.4316,163.8158,-13.0187,14.5179,1.4011,62.8772,-0.0778,0.1615,1817.0952,4.6407,7.1625,0.0504
Co1.14 Ni1.46 V0.35,9.0203,0.2352,8.4271,194.9356,-6.7953,8.0515,1.0789,73.3593,-0.0035,0.0067,1797.4407,4.5239,7.6271,0.0153
Cr1.89 Hf1.76 Mn0.32 Mo1.05 Ni1.9 Pd1.06,7.9649,0.4732,22.2469,212.7594,-26.9727,13.9692,1.2348,74.9862,-0.1111,0.2284,2165.2347,4.8871,7.2666,0.2055
Ba1 Mn1,4.5,0.33,63.0,105.5,29.0,5.7628,1.54,20.0,-0.2215,0.5625,1259.5,2.17,6.323,0.2178
Co1 Cu1 Mo1,8.6667,0.18,8.3333,222.6667,8.8889,9.1339,1.14,81.1,-0.0604,0.1331,2007.2567,4.9,7.5687,0.0325
Al1 Cu1 Fe1 Mn1 Ti1,6.6,0.214,17.8,145.0,-12.48,13.3809,1.828,47.12,-0.0708,0.1629,1512.448,3.78,7.1752,0.0448
Al0.23 Co1.75 Fe1.93 Hf0.6 Ni1.8 Ti0.2 W0.43,8.6138,0.5347,29.7723,206.8314,-14.9036,13.7383,1.2804,76.1367,-0.0599,0.1298,1930.1121,4.7719,7.6388,0.096
Al1.12 Fe1.39 Mo0.24 Si1.92 Ti1.32,4.8214,0.3994,22.1553,135.0935,-46.1103,12.2997,2.9787,53.5152,-0.0794,0.1877,1679.2949,4.4475,7.3547,0.0574
Co0.5 Fe1.79 Ni1.35 V1.47 Zr0.49,7.4339,0.4275,29.4964,176.1446,-17.5287,12.367,1.0739,69.0786,-0.0258,0.0462,1912.5393,4.7956,7.4226,0.0578
Al1.43 Ni0.4 Ta0.53 Ti1.97 V0.4,4.8499,0.3144,17.0761,118.055,-28.2486,11.5524,2.5221,45.2556,-0.0532,0.1289,1790.0068,4.7679,6.7542,0.0217
Al0.13 Cr0.41 Nb0.76 Ti0.41 V1.58,4.921,0.0748,19.0122,137.7173,-5.0715,11.1195,1.3483,57.0058,-0.068,0.1726,2234.0733,5.5469,6.7318,0.0022
Al1.35 Cr1.56 Pd1.36,6.3255,0.3838,10.6581,162.5995,-30.1301,9.1149,1.5935,64.3431,-0.1601,0.3688,1673.8015,3.7992,7.0201,0.1385
Ni1.33 Ta1.98,9.4018,0.2453,13.1601,191.6254,-27.8817,5.6015,1.4053,71.8127,-0.0011,0.0023,2662.3686,6.6294,7.7895,0.0808
Au1 Co1 Fe1 Ni1 Ti1 V1,6.8333,0.6517,13.6667,157.0,-18.6667,14.8967,1.3617,60.1667,-0.0548,0.1068,1794.7217,4.5117,7.7038,0.2056
Al0.3 Fe1.57 Mo1.12 Ti0.65,6.2582,0.3216,15.0907,218.7225,-11.0157,10.2986,1.6697,82.3159,-0.0776,0.1413,2095.7365,5.0875,7.3052,0.103
Mo1.24 Ni1.32,8.0625,0.1289,7.7344,262.4844,-6.9932,5.7588,1.2714,97.3125,-0.023,0.0511,2293.75,5.5928,7.378,0.0312
Al1.16 Cr1.28 Fe1.91 N1.7 Ni1.55 Ti0.55,6.4589,1.02,48.4883,211.6724,-74.0113,14.4064,2.2557,66.7887,-0.0924,0.1913,1372.4589,4.3169,8.7121,0.5752
Fe1 Hf1 Ni1 Ti1,7.5,0.345,20.0,167.75,-29.25,11.5257,1.75,58.0,-0.0665,0.1397,1996.5,4.8975,7.2988,0.1172
Au1 Co1 Cr1 Cu1 Fe1 Ni1,8.1667,0.5867,14.8333,184.5,3.6667,14.8967,1.0267,70.55,-0.0751,0.1523,1697.0167,4.0833,7.857,0.1518
Co1.17 Cu1.43 Ni1.29 Re0.45 Si1.34,8.7095,0.0182,13.8239,183.1268,-18.9207,12.8946,1.9046,70.0597,-0.0784,0.2406,1770.4967,4.5095,7.8509,0.0002
Cr0.86 Mo1.16 Ta0.22 Ti0.15 Zr0.47,5.7972,0.46,19.8986,253.1748,-5.8574,11.4403,1.365,96.2902,-0.0753,0.1286,2534.7098,5.9496,6.9694,0.2103
Al1.3 C0.87 Co0.32 Fe1.58 Nb1.64 Si1.91 Ta0.96 Ti1.79,5.2594,0.7897,56.1446,209.0193,-58.3793,16.5368,2.6076,61.0164,-0.1295,0.3751,2161.2016,5.4641,7.6215,0.1573
Co1 Cr1 Fe1 Nb1 Ni1 V1,7.1667,0.1583,15.5,188.6667,-15.0,14.8967,1.0633,73.8333,-0.0485,0.102,2070.0,5.015,7.2825,0.0313
Mn1.92 Ni0.9,7.9574,0.2451,2.0426,198.6383,-6.9534,5.2064,1.0851,48.0851,-0.0597,0.158,1585.7021,3.4051,7.4997,0.0563
Co1.11 Fe1.69,8.3964,0.0302,0.6036,210.2071,-0.9571,5.5832,1.0421,79.225,-0.0009,0.0019,1793.9536,4.3236,7.8937,0.0012
Cr1 Fe1 Mn1 Mo1 Ni1 Pd1,7.8333,0.335,8.5,223.0,-8.5556,14.8967,1.0883,78.6667,-0.0815,0.1658,1993.675,4.4083,7.5298,0.1138
Ba0.42 Co0.94 Cr1.31 Fe0.69 V0.78,6.4203,0.7645,112.2029,196.3382,9.0305,12.8531,1.0755,78.3309,-0.1106,0.173,1905.8092,4.1519,7.0474,0.1522
B1 Fe1 Mn1 Mo1 V1,5.8,0.318,37.2,263.2,-22.24,13.3809,1.474,92.8,-0.1207,0.2657,2151.6,5.012,7.4958,0.1083
Be1 Co1 Fe1 Mn1 Mo1,6.4,0.362,19.4,246.8,-5.28,13.3809,1.304,88.8,-0.0755,0.1514,1910.8,4.354,7.9276,0.1009
Cu1 Fe1 Nb1 Ni1 Ti1,7.6,0.216,12.8,152.4,-13.92,13.3809,1.512,57.66,-0.0452,0.0956,1917.554,4.926,7.371,0.0484
Co1 Cu1 Fe1 Mo1 N1 Ti1,7.1667,0.9817,56.6667,215.8333,-64.3333,14.8967,2.0583,68.2167,-0.0747,0.1682,1639.4867,4.7867,8.6617,0.4506
Al1 Cu1 Ni1 Sn1 Ti1 Y1,5.8333,0.47,35.1667,105.0,-26.0,14.8967,2.34,42.2667,-0.0862,0.1887,1377.3867,3.9567,6.9568,0.1384
Ag0.86 Cr0.59 Cu1.51 Sc1.2 Ta0.48,8.0884,0.334,20.194,131.5453,-5.539,12.674,1.6946,50.5394,-0.11,0.2989,1757.4294,3.8875,7.2922,0.114
Be1 Sn1,3.0,0.195,28.5,168.5,15.0,5.7628,2.985,75.0,-0.2271,0.5776,1032.54,3.25,8.333,0.076
Cu1 Fe1 Mo1 Sn1 Zr1,6.6,0.506,19.0,162.8,-4.64,13.3809,1.78,60.26,-0.1649,0.3698,1739.57,4.852,7.341,0.1522
Au1.04 Cu1.85 Fe1.27 Mn0.13 Ni1.79,8.9671,0.5497,14.8799,160.0872,4.6678,11.9173,1.0586,59.5666,-0.0606,0.1177,1561.3911,3.9755,7.9878,0.1312
Al1 Cr1 Nb1 Ni1 Ta1,6.6,0.254,14.4,168.0,-23.84,13.3809,1.596,64.86,-0.1062,0.2312,2176.294,5.514,7.0084,0.0376
Mn1 W1,8.5,0.405,6.0,304.5,6.0,5.7628,1.24,98.0,-0.1661,0.4133,2607.0,5.91,7.649,0.328
Al0.96 Au1.29 Co0.92 Cr0.99 Ni1.37 Ti0.91,6.3494,0.6435,15.8804,157.7438,-22.1525,14.7775,1.6125,60.1068,-0.1231,0.2699,1636.602,4.1493,7.4966,0.2436
Al1.58 Co1.32 Fe1.9 Nb1.1 Ni1.99,7.2522,0.1824,19.4854,164.8771,-20.4706,13.1871,1.5045,62.0271,-0.0691,0.1324,1738.0561,4.6132,7.2894,0.0337
Co1.53 Mo1.0 N0.89,7.0819,0.7763,48.4795,267.769,-72.5445,8.8936,2.1294,79.0497,-0.0671,0.1431,1654.1648,5.2306,9.3837,0.4517
Hf0.85 Ti0.42 W1.03,8.1652,0.5415,11.1478,258.4565,-5.9347,8.6311,1.8441,91.2217,-0.214,0.4774,2935.2913,7.0961,7.2908,0.4897
Al0.85 Au0.71 Co0.64 Cu0.75 Mo0.94,6.6195,0.527,13.1003,168.4833,-3.8562,13.3047,1.5384,61.3239,-0.1604,0.3666,1700.5248,4.4709,7.4936,0.1935
Al1 Au1 Co1 Fe1 Ti1 Zr1,5.5,0.7517,23.3333,129.6667,-38.2222,14.8967,1.7683,47.8833,-0.1,0.2208,1653.1333,4.535,7.4095,0.2929
Al1.08 Co1.28 Ta1.37,7.2627,0.2177,15.3137,160.3056,-27.7338,9.0937,1.8016,58.6954,-0.0609,0.126,2085.3854,5.4544,7.3356,0.0535
Al1 C1 Cu1 Hf1 Mg1 Nb1 Ni1 Ti1,5.875,0.835,59.625,232.5,-42.375,17.2885,2.1512,56.2,-0.2261,0.6729,2006.78,4.8263,7.5838,0.2901
Al1 Co1 Fe1,6.6667,0.1633,5.0,163.3333,-13.7778,9.1339,1.6967,61.1,-0.0757,0.1644,1504.1567,4.01,7.2563,0.0275
Ag0.57 Al1.7 Cu1.39 Ni1.76 V0.26,8.0211,0.197,19.2518,128.9243,-7.0208,11.9759,1.6476,48.8604,-0.0813,0.1757,1370.9453,3.7746,7.1187,0.0399
Al0.98 Hf1.69,6.1648,0.1962,25.9513,116.839,-36.2422,5.4653,2.2188,28.6419,-0.0019,0.0039,1928.8167,5.0437,6.5171,0.0447
C0.77 Cu1.1 Mo0.92 Ni0.26 W0.54,7.9944,0.374,49.7437,425.6602,-23.8438,12.6092,1.8025,111.7354,-0.0878,0.1951,2678.8292,6.0581,8.3378,0.1272
Co1 Cr1 Fe1 Mn1 V1 W1,7.5,0.5417,9.1667,239.3333,-3.1111,14.8967,1.0633,87.5,-0.0991,0.2184,2192.6667,4.9833,7.4323,0.1433
Ni1.55 Zr0.53,8.4712,0.4322,26.8269,172.9904,-37.2166,4.7187,1.2441,65.0433,-0.0443,0.083,1829.9231,4.9725,7.3837,0.1278
Al1.94 Co1.2 Cr0.44 Mn1.11 N1.27,5.6007,1.0784,45.5302,186.2651,-75.4463,12.6614,2.4841,47.1933,-0.1102,0.3035,1117.1178,3.8661,8.5163,0.6553
Al1 Be1 Fe1 Nb1 V1,4.6,0.182,20.8,160.2,-18.24,13.3809,1.656,67.06,-0.1356,0.3134,1847.494,4.776,7.343,0.0173
B1 Co1 Cr1 Mn1 Ni1 Ta1 Ti1,6.8571,0.3143,41.0,234.0,-31.5102,16.1783,1.6771,83.4286,-0.1125,0.2612,2110.7143,4.9329,7.534,0.0792
Cu0.92 Fe1.53 Mo1.96 Nb0.48 Ni0.18,7.5582,0.3513,12.789,231.4931,3.9746,11.4763,1.2018,86.1964,-0.0684,0.1253,2234.1575,5.4357,7.4421,0.067
Al0.85 Co0.17 Mn1.92 Nb1.39 Ni1.52 Ti0.52 Zr0.39,6.4068,0.3136,27.5074,151.2012,-25.7122,14.4124,1.5539,45.3247,-0.0709,0.1604,1819.3476,4.6669,7.0779,0.0538
Al1 Co1 Cu1 Zr1,6.75,0.35,27.25,125.75,-30.5,11.5257,1.6325,45.65,-0.0746,0.1683,1546.81,4.4425,7.0568,0.1079
Cu1.9 Fe0.46 Mn1.8 Mo0.71 Zr1.42,7.4913,0.4646,23.9666,169.7186,-6.7095,12.4141,1.1726,51.5978,-0.0994,0.2839,1784.5696,4.4468,7.338,0.1491
Al0.82 Co0.17 Cu1.9 Fe1.35 Mo0.36,8.2283,0.3126,12.6196,161.5696,5.4654,11.2545,1.4046,60.8665,-0.0821,0.1863,1550.691,3.9925,7.4241,0.0379
Al1.44 B0.83 Cr0.67 Cu0.2 Mn1.94 Ti1.95,4.8947,0.4022,40.8691,184.5733,-28.0896,13.4132,2.2148,59.656,-0.2018,0.6173,1672.5222,4.0059,7.016,0.0521
Co0.92 Pd0.2 Ta1.2,9.0862,0.489,12.069,189.5172,-29.1023,7.6412,1.3033,69.2241,-0.0081,0.0142,2560.4181,6.2659,7.925,0.1099
Al0.93 Hf0.24 Mo1.68 Si0.66 Ti1.65 V1.48 Zr1.88,4.5716,0.4997,29.4167,150.3005,-27.3057,15.0987,2.0743,56.7229,-0.1338,0.3337,2098.8729,5.5423,6.8349,0.1693
Fe0.98 Li1.57 Ni1.68 Pd0.46 V0.43,6.4375,0.6321,16.8437,131.0059,1.6418,12.2143,1.0562,50.6609,-0.2053,0.4161,1400.321,3.5714,6.9884,0.3836
Al0.39 Mo0.5 Nb1.09 Ni0.67 Ti1.37,5.4229,0.4582,21.0871,149.0473,-22.2292,12.5121,2.0488,55.442,-0.1003,0.2597,2145.8914,5.6197,6.8966,0.0918
Al1.25 Zr0.86,3.4076,0.1659,24.8815,79.782,-42.4968,5.62,2.3905,29.0308,-0.006,0.0129,1420.34,4.652,6.2501,0.0379
Cu1 Fe1 Hf1 Mn1 Nb1 Ni1 Ti1,7.5714,0.3614,22.2857,157.7143,-15.5918,16.1783,1.4814,50.4714,-0.0639,0.1406,1944.6814,4.7957,7.302,0.0882
Cr0.53 Fe0.92 Hf1.65 Ta1.77 Ti0.79,7.5671,0.3141,18.9929,176.758,-9.5338,12.5939,1.6838,60.5618,-0.0783,0.1868,2528.818,6.0445,7.3281,0.0635
Al0.84 Au0.36 Cu1.87 Fe1.39 Mo0.14 Ni0.76 Ti1.36,7.4241,0.7228,16.1845,145.6979,-12.7314,14.5419,1.6986,55.1359,-0.0728,0.1548,1589.3383,4.1058,7.4207,0.1085
Al1 Fe1 Mo1 Ti1,5.25,0.375,14.5,181.5,-17.25,11.5257,2.12,68.075,-0.1267,0.2813,1895.3675,4.8275,6.9538,0.1167
Co1 Cu1 Y1,7.6667,0.4467,34.3333,134.3333,-16.8889,9.1339,1.3,54.7667,-0.0336,0.0712,1641.59,4.1133,7.2747,0.1996
Au1.47 Cr0.43 Nb1.92 Ni1.97 Ti0.67,6.4876,0.6338,13.7415,140.5495,-27.5242,12.2634,1.3491,52.8328,-0.0964,0.2315,1995.0317,5.2445,7.5967,0.2744
Al1 Be1 C1 Ni1 Ti1 V1,4.6667,0.7483,46.3333,308.5,-50.4444,14.8967,2.3367,84.2167,-0.1617,0.3624,2043.4117,4.7817,7.9637,0.2534
Al0.67 Au0.27 Co0.23 Cr1.31 Fe1.19 Mo1.43 Nb1.04 Re0.65,6.4418,0.6936,15.1325,237.5891,-10.9783,16.0804,1.3621,90.9,-0.1272,0.2471,2305.3997,5.5245,7.1996,0.1234
Fe1.35 Nb0.98 V0.18 Zr1.69,5.5619,0.2634,18.6905,135.631,-16.9331,10.0241,1.2836,50.9452,-0.0796,0.185,2173.5976,5.9972,7.0755,0.0905
Co0.14 Fe1.86 Mo0.19 Ni1.96 V0.46 W0.53,8.6537,0.4492,11.2529,224.3074,-5.6855,11.6876,1.1297,86.8346,-0.0388,0.0987,2045.8424,5.0065,7.6645,0.0651
Al0.19 Co0.58 Cr0.66 Nb1.33 Ni0.34,6.3871,0.2102,16.1097,169.7774,-21.4007,11.8021,1.2666,64.7668,-0.0948,0.2309,2221.4901,5.6349,7.0199,0.0321
Nb0.35 V1.83,5.0,0.0252,10.0734,124.3073,-0.5391,3.663,0.9674,53.9495,-0.0091,0.0167,2274.0321,5.6728,6.7481,0.0002
Co1 Mn1 Ni1 Ti1 W1,8.0,0.512,14.6,226.8,-14.08,13.3809,1.54,78.2,-0.1324,0.324,2130.2,5.1,7.5294,0.1803
Cr0.3 Hf1.35 Re1.28,9.1058,0.301,18.215,297.1809,-26.568,7.9163,1.5167,103.3584,-0.1858,0.4612,2888.9488,6.6447,7.2799,0.1623
Ag1 Al1 Cr1 Ni1 Re1,8.2,0.192,14.6,219.0,4.16,13.3809,1.5,85.06,-0.1977,0.4451,1907.08,4.55,7.1698,0.0379
Au0.38 Fe1.22 Nb0.75 Ni1.86 Zr0.34,7.7736,0.6933,27.4769,169.1802,-21.5221,11.7807,1.1682,64.0396,-0.0618,0.1081,1915.9792,5.0158,7.6223,0.1437
Fe0.94 Nb0.13,7.6355,0.2021,17.5701,198.1215,-6.831,3.0753,1.0828,76.6542,-0.0212,0.0352,1925.0841,4.6797,7.7631,0.0113
Al1.04 Cu0.42 Fe1.46 Hf1.36 Mg1.97 Ni0.6,5.8745,0.3569,22.2511,122.6204,-8.2882,13.9636,1.7712,41.934,-0.1611,0.3927,1525.3142,3.6547,7.2899,0.1302
Co1.24 Ti0.93 V1.33 Zn0.96 Zr0.43,7.1104,0.3238,23.5235,139.3415,-19.3826,12.8959,1.6137,54.2331,-0.0334,0.0666,1734.3257,4.3191,7.5594,0.0496
Co1.32 Ni1.11 Si1.08 Zr0.3,7.4803,0.5211,36.5039,168.4094,-44.6108,10.6754,2.0934,64.0472,-0.0309,0.0589,1761.7323,4.6411,7.7891,0.0467
Al1 Be1 Co1 Fe1 Ni1 Ti1,6.0,0.1867,22.8333,182.1667,-23.0,14.8967,1.88,72.55,-0.0973,0.2088,1623.5783,4.1133,7.5932,0.0469
Cr1 Fe1 Pd1,8.0,0.3033,8.0,203.6667,-8.8889,9.1339,0.9767,80.3333,-0.059,0.1304,1939.6833,4.09,7.6687,0.1016
Al1 Co1 Cu1 Mo1 Ta1 V1,7.1667,0.38,14.3333,175.3333,-8.5556,14.8967,1.4833,65.9333,-0.0865,0.1908,2071.3733,5.245,7.2213,0.0995
Ba1 N1,3.5,1.075,94.0,156.5,-212.0,5.7628,3.44,22.5,-0.2371,0.6049,531.575,3.155,9.873,2.3112
Al1.17 Co1.04 Cr1.63 Hf0.88 Mo1.78 Nb1.69 Ti0.45 V1.21,5.7533,0.444,23.0538,187.9086,-14.6815,16.7451,1.5024,69.9707,-0.1377,0.2832,2234.1949,5.4841,6.8559,0.1208
N1 Y1,4.0,0.91,56.5,182.0,-232.0,5.7628,3.36,40.5,-0.0001,0.0002,931.075,4.675,10.3755,1.6562
Co1 Cr1 Cu1 Mg1 Pd1,7.6,0.48,12.0,156.8,-5.12,13.3809,1.184,59.86,-0.1392,0.3065,1611.364,3.476,7.6714,0.1742
Fe1 Hf1 Nb1 Ta1,7.5,0.2725,18.25,161.5,-11.25,11.5257,1.425,54.75,-0.0716,0.1534,2589.25,6.4925,7.344,0.0728
Al1 Co1 Cr1 Fe1,6.5,0.135,6.25,192.25,-11.5,11.5257,1.5025,74.575,-0.0876,0.1807,1673.1175,4.0325,7.134,0.0254
Ag1 Al1 Cr1 Zr1,6.0,0.3025,22.25,131.5,-15.75,11.5257,1.6075,51.075,-0.1967,0.5243,1619.1,4.235,6.7408,0.0906
Ag1 Co1,10.0,0.025,10.0,146.0,19.0,5.7628,1.02,52.5,-0.0778,0.1837,1501.465,3.67,7.7285,0.0013
Fe1.87 Nb1.19 Ti1.72 W1.19 Zr1.95,5.9962,0.671,17.8902,175.6856,-13.555,13.1953,1.686,66.9419,-0.1565,0.4255,2341.4444,6.1463,7.1791,0.2202
Hf1 Mo1 Pd1 Re1 V1,8.0,0.538,17.4,237.0,-28.8,13.3809,1.282,85.8,-0.1794,0.4173,2574.41,5.988,7.3774,0.2285
Cr1 Cu1 Fe1 Ti1,7.25,0.1925,14.75,184.0,-2.25,11.5257,1.5,72.325,-0.071,0.1574,1822.4425,4.18,7.3058,0.0399
Al1.58 Fe1.35,5.3038,0.1186,4.314,134.9659,-10.9322,5.7372,2.1069,51.9638,-0.1133,0.2855,1337.7927,3.7839,6.8688,0.0241
Cu1 Fe1 Ni1 Pd1 Ta1,9.6,0.368,13.4,169.6,-15.52,13.3809,1.148,63.86,-0.027,0.0559,2002.964,4.84,7.899,0.1
Fe0.91 Mo1.79 Nb0.87 Ni1.13 Pd0.14,7.2459,0.3401,11.688,230.4153,-13.9508,11.9114,1.2474,85.6446,-0.0672,0.1253,2362.1729,5.8368,7.351,0.0862
Al1 Co1 Cr1 Fe1 Ni1 V1,6.8333,0.1567,8.1667,182.8333,-14.8889,14.8967,1.345,71.8833,-0.0694,0.1383,1767.245,4.3133,7.1537,0.0303
Al1 Fe1 Mn1 Mo1 Ti1 V1,5.5,0.44,15.1667,175.3333,-13.0,14.8967,1.7383,60.7167,-0.1195,0.2761,1880.5783,4.59,6.9992,0.0957
Al1.73 Co0.96 Cu1.91 Re1.73 Zr0.85,7.9763,0.43,28.8538,202.0794,-13.5754,12.9675,1.6427,76.0086,-0.2362,0.6102,1907.8543,5.0015,7.2353,0.0783
Al1 Cr1 Fe1 Pd1 W1,7.4,0.428,12.0,218.4,-15.04,13.3809,1.474,85.66,-0.1492,0.3219,2089.504,4.906,7.3712,0.1772
Co0.23 Fe1.6 N0.25 Ti0.97,6.5574,1.1993,62.6033,187.9311,-50.8192,9.1681,1.9897,65.9443,-0.0414,0.0804,1705.8352,4.5196,8.1025,0.2937
Al1 Fe1 Mn1 Ni1 Ti1,6.4,0.222,18.6,159.0,-24.32,13.3809,1.86,52.66,-0.0843,0.1794,1586.494,3.97,7.158,0.0466
Au0.29 Mo0.66 Pd0.41 Ti0.28 Zn0.44,7.649,0.5105,7.2837,177.5817,-20.2112,12.9497,1.6091,65.5337,-0.1496,0.3282,1873.5314,4.3991,8.0886,0.2204
Cr1 Mo1 Ni1 W1 Zr1,7.2,0.554,22.0,262.6,-14.72,13.3809,1.278,101.0,-0.0922,0.1844,2525.4,6.158,7.2008,0.2642
C1 Mg1,3.0,0.62,37.5,547.5,-55.0,5.7628,2.965,93.5,-0.2608,0.6694,2419.0,4.44,9.453,0.7688
Cr1.75 Cu0.73 Sc1.44 W0.74,6.4914,0.6439,21.7468,213.2725,2.835,10.9187,1.8077,85.2809,-0.1486,0.3348,2178.6764,4.5102,7.0281,0.223
Ag1.89 Co0.45 Cu1.61 Nb0.57 Ni1.62 Pd1.9 Re1.8,10.2033,0.347,11.2825,193.8384,5.1782,15.3349,1.1136,72.8651,-0.1886,0.5098,1969.7137,4.7041,7.7803,0.0412
Cr1 Ti1 V1,5.0,0.07,10.6667,174.3333,-4.8889,9.1339,1.6167,72.0,-0.0812,0.1838,2101.3333,4.7533,6.7803,0.0052
Ag1 Cu1 Fe1 Mo1 Pd1 W1,9.3333,0.2967,10.0,214.1667,12.8889,14.8967,1.14,80.8833,-0.1468,0.3302,2137.125,5.055,7.7507,0.0716
Mg1 Ta1,5.5,0.095,0.5,115.5,30.0,5.7628,1.79,43.0,-0.1482,0.3656,2106.5,4.805,7.768,0.018
Cr1.37 Cu0.87 Ni1.92 Ta0.84 Zr0.35,8.5888,0.412,28.5159,199.714,-13.3597,12.3137,1.1585,77.5703,-0.0549,0.1064,2054.957,4.9098,7.4039,0.0724
Ba1.82 Co0.44 Fe1.57 Nb0.93 Ni1.83,6.5417,0.6735,89.7253,138.17,14.7874,12.5537,1.388,52.3915,-0.195,0.3815,1693.6161,4.0062,6.9236,0.3648
Al0.48 Ni0.15,4.6667,0.2286,4.5714,100.9524,-15.9637,4.5633,2.5695,38.1333,-0.0991,0.3081,1122.6438,3.6171,6.3798,0.0327
Al0.42 B1.92 Cr0.9 Mg0.2 Ni1.94 V0.67,5.8793,0.5324,31.3967,268.9686,-27.9629,12.9199,1.8296,104.1283,-0.1278,0.2366,1960.9368,4.7233,7.5053,0.0738
B1.01 Co1.8 Cr0.36 Fe1.13 Ni0.41 Ti1.03,6.7334,0.2856,37.223,238.8589,-30.4629,13.7994,1.7383,90.1115,-0.0848,0.2022,1932.723,4.6721,7.6825,0.0518
Fe1 Pd1 Re1,9.6667,0.2233,8.0,265.0,0.8889,9.1339,1.1367,101.3333,-0.1327,0.3096,2366.0167,5.3567,8.0397,0.0515
Al1.04 Ni0.4,4.9444,0.2167,4.3333,106.1111,-17.6543,4.9123,2.4961,40.1056,-0.1029,0.3081,1154.1728,3.66,6.4454,0.0361
Cr0.29 V1.11,5.2071,0.0238,4.7571,159.2786,-1.3139,4.2414,0.9041,69.0143,-0.0421,0.116,2182.3786,5.0594,6.7503,0.0003
Cu1 Fe1 Mn1 Mo1 Ni1 Ti1,7.6667,0.345,15.1667,197.3333,-5.2222,14.8967,1.4467,67.55,-0.0822,0.1832,1875.4617,4.4667,7.4382,0.0938
Cr0.36 Cu1.25 Mn0.14 N1.11 Ni0.11,7.9259,0.7592,39.2593,217.3939,-81.5673,10.425,2.4375,53.6818,-0.0696,0.1988,994.8987,4.0955,10.1372,0.7069
Al1.1 Co1.05 Fe0.8 Mo0.62 Nb1.29 Ta0.69 Ti1.03,6.0258,0.4528,17.0334,159.9544,-22.2219,15.9367,1.8239,59.2143,-0.0949,0.2186,2119.2047,5.5179,7.1092,0.0773
Al0.7 Cu1.21 Fe1.76 Hf1.81 V1.32,7.4368,0.3399,23.1309,148.1265,-14.5411,12.983,1.4027,51.5754,-0.0773,0.1642,1897.2222,4.7078,7.1624,0.1045
Co1 Cr1 Cu1 Fe1 Hf1 Pd1 V1 Zr1,7.625,0.4838,22.625,164.5,-26.375,17.2885,1.1388,60.5375,-0.088,0.1966,1970.2275,4.7512,7.3522,0.1601
Al1.96 Co0.93 Fe0.84 Ni1.0 Ti0.24,6.4245,0.2147,23.7304,148.2193,-21.135,12.0553,1.937,55.6817,-0.0823,0.199,1446.463,3.9975,7.0379,0.0385
Al0.66 Co1.86 Ni1.74 Pd0.41,8.6124,0.3189,14.1328,178.2762,-11.3347,10.1815,1.3521,65.7683,-0.0452,0.0774,1640.4263,4.2192,7.5634,0.0393
Al0.16 Co1.46 Cr0.61 Nb1.34 Ni0.42 Pd1.48,7.8574,0.3321,15.9854,162.7623,-29.3212,13.2678,1.1377,60.6614,-0.0733,0.1733,2043.2741,4.9751,7.5314,0.1087
Al1 Cr1 Fe1 Ta1,6.5,0.18,16.5,186.5,-15.75,11.5257,1.6375,73.075,-0.0909,0.1892,2053.6175,4.96,7.1362,0.0283
Co1.2 Cu1.19 Mo0.56 Ni1.84 Pd1.72,9.6544,0.1992,8.831,179.0876,-2.4306,12.8217,1.0737,66.0825,-0.0456,0.1097,1794.604,4.3165,7.8378,0.0391
Co1.27 Cu1.46 Ni0.49 Pd1.99 Re1.22,10.2193,0.2103,8.2146,211.3344,2.1001,12.7329,1.0816,78.9624,-0.1422,0.394,2011.2323,4.7007,7.9684,0.0398
B1 Co1 Cr1 Cu1 Ni1,7.8,0.218,33.0,253.6,-10.88,13.3809,1.418,96.86,-0.0846,0.1908,1876.554,4.43,7.6624,0.0301
Co1.11 Cu0.12 Fe1.75 Mn0.78 Mo0.85,7.7809,0.3073,10.6226,227.9675,-0.9048,11.7881,1.1066,78.4915,-0.0543,0.1086,1939.4973,4.5241,7.6651,0.0667
Co1 Cr1 Fe1 Si1 Sn1,6.2,0.186,31.6,171.2,-16.96,13.3809,2.298,67.4,-0.1176,0.2374,1590.216,4.108,7.609,0.0208
Co1.17 Fe1.96 Ta0.53 Ti0.2,8.2332,0.2848,17.4689,202.0389,-12.3138,9.4109,1.2179,76.1244,-0.0082,0.0135,2007.7772,4.8674,7.8383,0.0361
Al1 Cr1 Ni1 Ta1 Ti1 Y1,5.8333,0.3533,37.8333,152.5,-20.1111,14.8967,1.9267,61.8833,-0.0994,0.2217,1978.5783,4.885,6.888,0.0845
Co1.9 Fe1.86 W1.84,8.9964,0.3389,9.0679,276.0357,-0.8967,9.1331,1.1681,105.5821,-0.061,0.1356,2415.4393,5.8353,7.8824,0.1132
