composition,Mean VEC,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Mg1 Mo1 Nb1 Sn1 Zr1,4.2,11.6,124.6,5.28,13.381,2.036,45.2,-0.253,0.718,1840.416,5.114,7.096,0.23
Mn1 Mo1 Nb1 Ni1 Si1 Ti1,6,21.333,175.833,-37.444,14.897,2.078,60,-0.102,0.25,2086.833,5.205,7.318,0.106
Cr1 Fe1 Hf1 Ni1 Ta1 Zn1,8.833,22.833,188,-17.444,14.897,1.417,69.167,-0.076,0.158,2034.613,4.715,7.736,0.082
Co0.51 Fe1.79 Nb0.76 Ta0.43 W0.58,7.956,12.425,216.816,-13.22,12.055,1.207,82.791,-0.078,0.186,2405.693,5.97,7.679,0.123
Al1.75 Ni1.23 Ta0.39 V1.79,5.816,18.903,129.876,-24.74,10.567,1.728,52.024,-0.063,0.145,1734.435,4.652,6.788,0.035
Mn1.3 Ta1.65,8.119,10.627,191.288,-3.944,5.704,1.341,54.017,-0.045,0.098,2509.559,5.817,7.689,0.001
Al1 Be1 Co1 Hf1 Ni1 Zr1,6,28.167,167.333,-42.111,14.897,1.742,62.05,-0.156,0.364,1770.578,4.683,7.381,0.113
Mo0.89 Pd1.17,8.272,0,210.864,-14.723,5.686,1.146,76.835,-0.094,0.24,2289.446,5.156,7.802,0.001
Cu1 Fe1 Mn1 Mo1 Si1 Ta1 Ti1 V1,6.75,21.25,175.625,-20.625,17.288,1.814,62.788,-0.071,0.168,2085.596,5.05,7.472,0.095
C0.46 Co1.09 Cr1.82 Mo0.26 V0.45,6.466,52.022,333.757,-27.627,11.452,1.315,104.436,-0.043,0.094,2311.502,4.853,7.59,0.166
Cr0.75 Hf1.9 N0.66 Ni0.93 Pd0.54 Ta0.17 V1.16,7.37,67.838,182.044,-81.08,14.775,1.66,55.964,-0.092,0.237,1984.263,5.157,7.923,0.539
Cu1 Fe1 Mn1 Nb1 Ti1 V1,6.667,12.333,148,-4.222,14.897,1.392,50.717,-0.043,0.096,1926.962,4.737,7.232,0.039
Co0.77 Fe1.78 Mo0.15 Re0.54 Si1.27 Ta1.54,7.76,18.119,207.969,-37.882,13.349,1.948,79.964,-0.065,0.182,2329.965,5.726,7.927,0.06
Cr1 Mn1 N1 Ti1,5.5,51.75,223.25,-107.25,11.526,2.462,58.5,-0.126,0.314,1425.788,4.19,8.891,0.8
Al1.91 Co1.74 Fe0.41,6.076,4.192,143.81,-17.586,7.893,1.963,52.796,-0.091,0.225,1379.743,3.894,6.992,0.034
Al1.7 Si1.95,3.534,3.74,89.767,-18.911,5.743,3.817,37.359,-0.035,0.076,1336.041,4.038,7.143,0.042
Co1 Cr1 Cu1 Mo1 Ni1,8.4,10.2,229.4,2.88,13.381,1.1,86.86,-0.047,0.096,1985.954,4.648,7.423,0.05
Al1 Co1 Cr1 Cu1 Nb1 W1,7.333,15.333,200.667,-5.667,14.897,1.452,77.267,-0.164,0.375,2114.04,5.302,7.164,0.139
Cu1 Mn1 Nb1 Ni1 V1,7.6,14.2,152.2,-7.36,13.381,1.086,50.86,-0.039,0.085,1907.554,4.746,7.261,0.048
Al0.39 Co0.9 Cr0.21 Fe0.92 Nb1.64 Ta0.28,6.592,16.018,159.537,-21.358,12.992,1.351,59.674,-0.072,0.164,2191.33,5.701,7.238,0.035
Al1 Cr1 Fe1 Hf1 Mn1 Ni1 Sc1 Ti1,6.125,25.625,161.5,-23.75,17.288,1.934,54.662,-0.134,0.31,1804.059,4.155,6.993,0.077
Al0.1 Co1.06 Cr0.88 Fe1.4 Ni1.93 Y1.13,7.54,43.569,188.889,-11.486,13.519,1.235,75.56,-0.04,0.081,1813.713,4.338,7.345,0.123
Au0.93 Mn0.99 Mo1.08 Ni1.17 Ti1.69,6.232,13.078,179.85,-20.504,13.174,1.698,60.177,-0.125,0.295,1907.382,4.639,7.523,0.271
Cr0.21 Cu0.85 Fe1.02 Li1.49 Mn0.21 Nb1.73 Ni1.26 W1.45,6.993,14.808,179.061,12.649,15.897,1.177,67.811,-0.251,0.568,2037.297,5.211,7.1,0.371
Cr0.8 Cu1.39 Fe0.59 Mn0.68 Si1.43 Ti0.64,6.844,21.533,160.991,-27.059,14.321,2.145,59.075,-0.078,0.193,1697.534,4.045,7.576,0.046
Al1.23 Co0.87 Cr0.93 Cu0.29 Fe1.2 Ni1.86 Pd1.7 Zr1.41,7.495,27.883,161.068,-34.926,16.548,1.359,61.08,-0.092,0.196,1749.518,4.425,7.373,0.143
Ag1 Al1 Co1 Cu1 Fe1 Hf1 Mo1,8,24.714,168,-4.327,16.178,1.464,58.8,-0.135,0.305,1786.739,4.473,7.285,0.129
Cu1.82 Mo0.8,9.473,7.641,190.763,16.12,5.116,1.119,70.193,-0.079,0.221,1827.459,4.507,7.535,0.029
Al1 B1 Cr1 Hf1 Mo1 Ni1,6,40.5,245.333,-33.333,14.897,1.87,89.55,-0.161,0.328,2098.745,5.078,7.102,0.168
Al1 Co1 Cu1 Pd1 Sn1 Ti1 V1 Zr1,6.25,22.875,114.75,-35,17.288,1.924,43.2,-0.072,0.151,1580.546,4.37,7.185,0.135
Fe1.53 Mn0.49 Nb0.56 Pd0.44 Ta1.03 V1.81,7.029,11.043,162.995,-15.814,13.68,1.114,61.005,-0.037,0.07,2252.459,5.441,7.427,0.069
Nb1.67 Zr1.66,4.502,7.021,99.517,4,5.763,1.405,35.508,-0.002,0.005,2439.934,7.052,6.697,0.036
Fe0.73 Mn1.91 Ni1.78 Pd1.42 V0.92,8.256,9.425,174.229,-15.579,12.87,1.04,55.756,-0.049,0.107,1760.851,3.996,7.635,0.116
Al1 Fe1 Nb1 Ta1 Ti1 Zr1,5.5,22.5,130.333,-20.556,14.897,1.912,48.717,-0.077,0.169,2142.245,5.782,7,0.044
Co1.73 Cr1.37 Cu0.69 Fe1.4 Si1.9 V1.12,6.794,12.911,179.727,-27.383,14.526,1.802,71.689,-0.048,0.107,1847.474,4.428,7.593,0.024
Al1 Co1 Cr1 Mn1 Ni1 Sn1 V1 W1,6.75,29.875,193.125,-7.125,17.288,1.684,70.412,-0.183,0.413,1813.944,4.57,7.208,0.125
Ba1 Co1 Cu1 Hf1 Zr1,6.8,88,118,-0.32,13.381,1.462,38.26,-0.176,0.362,1751.954,4.37,6.856,0.295
Cu0.56 Ti1.57,5.84,14.005,119.681,-6.976,4.79,2.496,45.131,-0.001,0.002,1787.663,4.492,7.064,0.05
Al1 Cr1 Fe1 Mn1 Re1,7,9.8,244.2,-8.48,13.381,1.486,87.26,-0.182,0.407,1980.494,4.512,7.194,0.035
Cu1 N1 Ni1 W1 Zn1,9.6,53,229.8,-50.24,13.381,2.096,73.66,-0.147,0.382,1507.32,4.614,9.432,0.482
Co0.77 Cr1.98 Fe0.19 Nb1.92 Ni0.98 Pd1.69 Ti0.76 V1.8,6.806,11.886,165.916,-26.738,16.083,1.192,65.299,-0.08,0.181,2129.758,5.056,7.22,0.098
Ag1 Cr1 Cu1 Ni1 Ta1,9.4,11.8,175.6,5.44,13.381,1.132,67.66,-0.082,0.179,1958.14,4.616,7.52,0.059
Co1.35 Cr1.66 Cu1.34 Fe2.0 Ni1.08 Ti0.69,8.179,18.909,201.666,-2.769,14.492,1.195,77.994,-0.043,0.087,1804.5,4.201,7.511,0.029
Fe1 Ta1 Zn1,9.667,10.667,168.333,-6.222,9.134,1.553,64.667,-0.029,0.063,1931.227,4.577,8.395,0.036
Co1.62 Cr0.61 N0.5 Nb0.45 Ni0.78 Sn1.23 Ti1.16,6.354,68.115,166.627,-47.418,15.359,2.292,56.883,-0.118,0.255,1524.99,4.475,7.892,0.277
Ag1.55 Fe0.72 Hf0.85 Mo1.54 Ni1.25 W0.17,8.725,20.298,202.22,6.614,13.711,1.258,72.074,-0.133,0.292,2071.735,4.99,7.41,0.148
Al1 Mo1 Nb1 Ti1 V1 W1,5.5,19.167,193.167,-10.778,14.897,1.847,74.383,-0.184,0.435,2399.745,6.135,6.88,0.205
Al1 Cr1 Ni1 W1,7.25,11.75,240,-10.75,11.526,1.63,94.575,-0.131,0.275,2134.118,5.2,7.064,0.176
Al0.26 Co1.7 Cr0.72 Cu1.93 Mo1.35 Nb1.9 Re0.75,7.837,15.587,210.938,-3.566,15.009,1.227,78.752,-0.125,0.306,2226.161,5.521,7.326,0.069
Al1.4 Cu0.77 Fe1.34 Ta0.16 Ti0.51,6.428,19.983,136.306,-11.908,11.841,1.959,52.003,-0.087,0.196,1506.074,4.042,7.096,0.039
Fe0.32 Zr0.27,6.169,18.441,157.458,-24.82,5.733,1.251,59.576,-0.074,0.168,1956.068,5.31,7.322,0.124
Co1 Cr1 Mn1 Mo1 Ni1,7.6,10.4,243,-4.64,13.381,1.11,84.2,-0.068,0.135,2018.2,4.534,7.364,0.09
Al1 Cr1 Fe1 Mn1 Ni1 V1,6.5,8.167,181,-13.556,14.897,1.348,65.217,-0.1,0.21,1725.745,4.068,7.079,0.033
Co1 Cu1 Mn1 Mo1 Ta1,8.4,13,210.4,-1.12,13.381,1.208,69.46,-0.078,0.175,2166.154,5.144,7.606,0.119
Au1 Co1 Fe1 Ni1 Ti1 Y1,6.5,37.333,146.333,-24.556,14.897,1.523,57.5,-0.066,0.133,1730.722,4.37,7.616,0.323
Co1 Cu1 Mo1 Ni1 Pd1 Sc1 Ti1 W1,7.875,24.125,198.75,-18.688,17.288,1.686,74.662,-0.135,0.318,2128.478,5.006,7.492,0.197
Al1.64 Cr1.44 Fe1.74 Re0.59 Zr1.18,5.871,28.481,192.381,-23.105,12.921,1.619,75.17,-0.164,0.393,1877.554,4.739,6.948,0.066
Co1 Cr1 Cu1 Mn1 Mo1 V1 W1,7.714,7.571,240.571,4,16.178,1.103,87.329,-0.11,0.236,2228.396,5.133,7.36,0.151
Al1 Au1 Co1 Cu1 Fe1 Mo1 Nb1,6.714,14.286,161.714,-9.224,16.178,1.4,59.514,-0.128,0.288,1836.224,4.816,7.511,0.186
Hf1 Mn1 Ni1 Ti1,7.25,19.75,164.5,-26.25,11.526,1.75,46.25,-0.066,0.15,1923.5,4.557,7.182,0.095
Cr1.2 Ni0.17 Si0.15 V0.79 W1.6,7.532,21.887,292.473,-6.988,10.914,1.273,117.801,-0.07,0.128,2761.99,6.344,7.303,0.231
Ag1 Cr1 Mg1 Si1 V1,5.6,21.6,128.4,-8.32,13.381,1.872,53.2,-0.166,0.404,1641.586,3.7,7.377,0.1
Al1 Mg1 Mn1 Ni1 Re1,6.6,14.8,195.2,-5.12,13.381,1.726,66.46,-0.294,0.796,1712.494,4.026,7.317,0.103
Mo0.72 Ni0.81 Ta1.37 Ti0.62 V1.97,6.754,13.643,178.102,-12.418,12.548,1.41,69.592,-0.04,0.097,2458.293,6.024,7.219,0.098
Fe1.05 Mo1.21 Nb1.11 Ni0.85 Sc1.74 Ti1.43 V1.16 Y1.03,5.171,31.985,147.728,-3.263,17.106,1.943,58.435,-0.102,0.245,2113.178,5.042,6.92,0.159
Cu1 Fe1 Mn1 Pd1 W1,9.2,7.2,214.2,-0.32,13.381,1.098,74.06,-0.154,0.391,2042.164,4.696,7.853,0.162
Co1 Cr1 Fe1 Si1 W1,7.4,14.8,243.4,-23.52,13.381,1.79,96,-0.076,0.165,2228.2,5.26,7.713,0.108
Co1.26 Cr1.48 Cu0.11 Fe0.16 Mo0.64 Ti1.36,6.385,13.255,218.092,-12.491,12.621,1.586,83.787,-0.063,0.133,2073.133,4.716,7.163,0.081
Fe0.63 Pd1.99 Re0.54,9.772,10.066,197.386,0.574,7.604,1.053,74.475,-0.129,0.438,2103.357,4.653,8.172,0.054
Cu1 Fe1 Si1 Ti1,6.75,19,141,-33.25,11.526,2.4,55.325,-0.036,0.078,1699.192,4.312,7.652,0.044
Al0.35 Co1.71 Cr1.84 Mn0.31 Nb1.65 Ni1.48 Ti1.04 V0.6,6.666,14.746,180.771,-20.39,15.981,1.383,68.491,-0.085,0.174,2032.903,4.947,7.12,0.04
Be1 Cr1 Cu1 Ni1 Ta1 V1,7.167,22.5,201.667,-10.222,14.897,1.258,82.883,-0.062,0.135,2049.795,4.8,7.682,0.049
Ag1 Al1 Cu1 Fe1 Si1 W1,7.833,17.167,168.667,-3.778,14.897,2.003,65.767,-0.188,0.494,1786.528,4.602,7.534,0.1
Al1 Co1 Cu1 Nb1 Ti1 W1,7,15.833,173.5,-12.667,14.897,1.803,65.433,-0.176,0.477,2074.207,5.427,7.174,0.157
Al1 Ba1 Cr1 Cu1 Zr1,5.2,95.6,117.2,-0.8,13.381,1.69,45.52,-0.269,0.676,1519.848,3.78,6.465,0.239
Al1 Cr1 Mo1 Re1 Ta1,7,15.6,265.4,-14.4,13.381,1.658,101.66,-0.124,0.253,2551.694,6.056,7.124,0.112
Co1.49 Cu0.58 Ni1.74 Si0.88,8.68,11.373,176.753,-20.285,10.846,1.729,66.815,-0.02,0.038,1687.23,4.342,7.823,0
Co0.69 Fe0.65 Mn1.66 Mo1.3 Ni1.81 Ta1.99,8.252,13.327,218.504,-13.863,14.22,1.255,73.336,-0.057,0.123,2266.443,5.393,7.614,0.116
B1.5 Cu1.14 Fe0.84 Mg1.36 Ti1.07,5.205,39.154,200.636,-12.44,13.221,2.11,75.997,-0.242,0.586,1679.314,3.961,7.715,0.157
Ag0.94 Co1.15 Cr0.27 Mn0.26 Mo1.65 Ti0.38 Zr0.33,7.404,22.321,213.48,5.429,14.196,1.324,76.347,-0.127,0.242,2087.509,5.008,7.318,0.127
Ba0.3 Co1.85 N0.79 Ti1.1,6.337,124.238,186.918,-87.499,10.177,2.396,54.517,-0.096,0.15,1424.7,4.392,8.697,0.727
Au0.71 Co1.18 Cu1.86 Fe0.36 Nb0.93 Ni1.69 Zn1.31 Zr1.06,8.684,25.532,142.476,-18.551,16.557,1.275,52.98,-0.059,0.12,1632.315,4.302,7.868,0.162
Al0.35 Cr0.65 Fe1.56 Mo0.69 Ni1.49 Ti0.91 V1.07,6.765,16.214,193.83,-15.967,15.38,1.443,75.736,-0.059,0.118,1970.827,4.752,7.222,0.067
Cr1.97 Mo0.63 Nb1.33 Ni1.28 Re0.41 W0.46,7.263,12.326,251.882,-13.246,13.616,1.178,98.192,-0.084,0.183,2484.59,5.832,7.141,0.11
B1.27 Fe0.96 Mn0.84 Ni0.33 V1.79,5.707,33.761,238.054,-29.461,12.419,1.478,86.923,-0.135,0.324,2018.412,4.78,7.508,0.069
Co1 Cr1 Fe1 Mo1 Nb1 Ni1 Pd1 Ti1,7.25,12.75,196.25,-22.188,17.288,1.358,74.25,-0.075,0.158,2112.756,5.042,7.402,0.105
Co0.84 Cr0.17 Fe1.35 Hf1.82 Mo0.86 Ti1.11 Zr1.26,6.556,19.474,175.447,-19.941,15.165,1.63,59.578,-0.116,0.277,2184.594,5.478,7.139,0.18
Al0.9 Co1.66 Cr0.35 Cu0.54 Hf1.75 Ti1.44,6.843,20.815,150.125,-29.732,13.798,1.916,49.753,-0.094,0.23,1875.262,4.691,7.046,0.103
Fe1 Mn1 Mo1 Ti1 Zr1,5.8,20.2,189.6,-11.52,13.381,1.602,62.8,-0.123,0.287,2059,5.08,7.179,0.165
Co0.76 Cu0.6 Mo0.28 N1.38 Ni0.73,7.819,39.251,237.056,-73.095,12.445,2.483,61.403,-0.054,0.141,1151.416,4.621,10.199,0.585
Co1 Cr1 Ni1 Ta1,8.5,15.25,218.5,-17.75,11.526,1.17,83.75,-0.023,0.047,2241.5,5.258,7.544,0.056
Cr1 Re1 Ti1 Zr1,6.25,17,238,-20.75,11.526,1.71,92.5,-0.176,0.401,2427,5.845,7.027,0.085
Co1.73 Mn0.69 Ta1.35 Zr1.84,7.114,18.221,164.394,-26.417,11.049,1.313,54.861,-0.059,0.126,2221.706,5.804,7.419,0.099
Al1 Co1 Cr1 Fe1 Ni1 Ti1 Zr1,6.286,27.429,168.429,-29.796,16.178,1.67,64.471,-0.099,0.205,1784.21,4.564,7.091,0.075
Cr1 Cu1 Hf1 Ti1 W1,7.8,18.8,216,-3.04,13.381,1.628,79.66,-0.172,0.397,2335.954,5.472,7.202,0.26
Cu1 Mo1 Nb1 Zr1,6.5,16.75,164.5,-2.25,11.526,1.3,59.825,-0.138,0.346,2282.942,6.103,7.054,0.195
Cr1 Ni1 Pd1 Ta1 Ti1,7.8,12.8,180.4,-34.56,13.381,1.528,69.6,-0.063,0.141,2193.41,5.076,7.492,0.137
Au0.33 Co0.59 Fe1.47 Mn1.57 Ni0.15 Ti1.62,6.578,13.908,172.426,-15.735,12.926,1.608,54.333,-0.068,0.145,1733.867,4.056,7.537,0.125
Co1.79 Cr1.46 Cu1.12 Mn1.49 Pd0.4 Zn0.86,8.699,10.621,191.482,-2.372,14.195,1.125,65.025,-0.09,0.202,1609.334,3.486,7.743,0.061
Cu1.13 Hf0.38 Ni1.3 Re2.0 Si1.61 Ti1.16,8.12,28.46,223.542,-35.515,14.167,2.229,85.421,-0.186,0.44,2192.426,5.394,7.66,0.062
Al1.12 Co1.6 Mn0.97 Ni0.31 Ti1.77,6.019,16.328,151.158,-29.34,12.415,2.038,49.367,-0.071,0.151,1615.072,4.087,7.102,0.047
Ag1 Cr1 Fe1 Li1,6.5,14.25,146,24.75,11.526,1,57.8,-0.266,0.561,1419.895,3.24,6.909,0.275
Mo1.77 Ni1.89,8.066,7.746,262.385,-6.992,5.758,1.271,97.279,-0.023,0.051,2292.852,5.591,7.378,0.031
Co1 Nb1 Pd1 W1,8.5,12.25,211.5,-23.5,11.526,1.185,79.5,-0.155,0.382,2510.262,6.188,7.71,0.172
Al1 Be1 Ni1 Ti1,4.75,23.5,168.25,-30.25,11.526,2.3,69.575,-0.144,0.334,1540.618,4.002,7.444,0.044
Cu1 Fe1 Mn1 Ni1 Re1 W1,9.5,8.833,268.833,5.667,14.897,1.182,96.717,-0.143,0.312,2261.628,5.322,7.741,0.113
Al1 Co1 Mo1 Nb1 Ni1,6.6,15.6,182.6,-21.92,13.381,1.582,67.06,-0.112,0.242,2015.094,5.316,7.073,0.088
B1 Co1 Cr1 Fe1 Ni1,7.2,32.6,269.8,-19.2,13.381,1.428,103.6,-0.054,0.123,1967.2,4.588,7.698,0.03
Al1.77 Cu0.34 Hf1.11 Ti0.27,5.447,24.742,102.94,-32.448,9.424,2.418,30.989,-0.022,0.056,1552.898,4.334,6.487,0.067
Al1.21 Mn1.38 Mo0.13 Nb1.93 Ni0.71,5.75,14.297,139.06,-21.484,11.732,1.612,41.609,-0.075,0.216,1891.153,4.99,6.883,0.038
Fe0.81 Ti0.14,7.411,17.905,197,-8.544,3.476,1.342,76.4,-0.018,0.031,1830.158,4.364,7.744,0.021
Ba1.52 Co0.87 Cr1.11 Fe0.71 Ni0.29 Ta0.96 V0.63,6.223,91.195,160.639,25.447,15.432,1.34,62.875,-0.181,0.357,1937.369,4.265,6.887,0.281
Cu1.38 Fe1.25 Mo0.76 Ni0.42 Ta0.12,8.911,16.387,203.438,9.233,11.599,1.126,76.477,-0.047,0.112,1897.962,4.628,7.657,0.038
Ag1 Fe1 Re1 Ti1 Zr1,7.6,17,193.4,-9.28,13.381,1.596,73.4,-0.216,0.572,2114.786,5.302,7.364,0.109
Fe1.38 Mg0.56 Ni1.95 Ta1.32 V1.17,7.741,13.339,172.674,-11.25,12.837,1.248,67.187,-0.045,0.069,2081.908,5.065,7.585,0.079
Al0.52 Co1.7 Cu0.67 Fe0.88 Nb0.45 Ti1.86 Zr1.24,6.273,22.292,142.63,-26.264,15.138,1.774,52.672,-0.064,0.133,1841.649,4.896,7.187,0.085
Al1 B1 Co1 Cu1 Fe1 Ti1 V1,6.143,38.286,187.714,-22.939,16.178,1.857,71.8,-0.143,0.371,1763.32,4.487,7.338,0.058
Au1 Ba1 Ni1 Ti1 V1,5.2,92.6,107,-9.6,13.381,1.624,41.8,-0.175,0.341,1637.866,3.964,7.13,0.575
Cr1 Cu1 Fe1 Mo1 N1 Si1 V1,6.429,53.714,212,-61.551,16.178,2.09,72.757,-0.083,0.18,1739.703,4.789,8.418,0.402
Au1 Ni1 Pd1 Re1,9,12,215.5,8.75,11.526,1.13,81.25,-0.207,0.52,2088.095,5.008,8.271,0.137
Cu0.79 Fe1.62 Mo1.28 Ni0.44 Ti0.95 V0.27,7.267,13.626,205.308,-4.099,13.714,1.477,77.613,-0.063,0.13,2038.695,4.937,7.413,0.086
Al0.25 Cu1.67 Fe0.4 Pd0.7 Ta0.44,9.618,14.439,140.329,-12.578,11.443,1.215,52.369,-0.036,0.076,1720.369,4.239,7.765,0.09
Cr1 Re1 Ta1 Zr1,7.5,17.25,255.5,-19.75,11.526,1.345,98.75,-0.136,0.301,2764.25,6.658,7.293,0.088
Al1 Cr1 Fe1 Ni1 Re1 Sn1,7,29.5,212.167,-2.556,14.897,1.918,82.55,-0.198,0.429,1769.425,4.537,7.253,0.034
Au1 Fe1 V1 Zn1 Zr1,6.8,20.4,123.8,-26.24,13.381,1.296,48.4,-0.074,0.165,1630.402,4.254,7.98,0.328
Ni1.55 V0.87,8.202,6.405,174.116,-16.579,5.43,1.067,69.169,-0.009,0.017,1891.574,4.753,7.319,0.036
Cr1.03 Cu0.19 Fe0.44 Mo0.74 Nb1.87 Pd0.52 Ti1.81 W0.89,6.264,14.126,198.049,-14.766,15.707,1.649,76.018,-0.138,0.339,2448.345,5.967,7.143,0.181
Al1 Be1 Cr1 Fe1 Li1 Si1 Zr1,4,31.429,151.286,-24.327,16.178,2.001,62.786,-0.244,0.5,1536.16,3.984,7.165,0.169
Al0.97 Ba0.31 Cu0.99 Mn0.68 Ti0.68 Zr0.45,5.809,111.35,111.875,-13.884,14.312,1.957,35.159,-0.072,0.116,1438.74,3.769,6.803,0.137
Al1 Au1 Cr1 Mg1 Mo1,4.4,16.8,160.2,-1.28,13.381,1.666,61.06,-0.256,0.574,1653.96,3.918,7.345,0.383
Al1 Co1 Fe1 Li1 Mg1 Ta1,5.333,17.333,122,4.222,14.897,1.615,45.583,-0.236,0.452,1529.853,3.878,7.116,0.19
Cr1 Mn1 Si1 Ta1 Ti1,6,20.8,177.2,-36.32,13.381,2.218,62,-0.091,0.215,2123.4,4.92,7.414,0.042
Mo1 Ni1 Si1,6.667,14.333,212,-36.444,9.134,2.357,81,-0.062,0.137,2103.667,5.297,7.63,0.029
Al1.78 Co0.3 Cr1.31 Mo1.79 Sc0.48,4.961,30.942,207.989,-10.034,11.902,1.95,79.273,-0.148,0.305,1961.544,4.672,6.668,0.147
Cr1 Fe1 Mg1 Si1 V1 W1 Zn1,6.714,20,184.143,-6.857,16.178,1.839,74.571,-0.167,0.374,1881.669,4.297,7.781,0.179
Cr1 Fe1 N1 Ti1 Zr1,5.4,60.2,200,-108.64,13.381,2.268,62.8,-0.108,0.246,1624.63,4.93,8.533,0.726
Al1.52 Co0.43 Cr1.7 Fe0.39 Hf1.95 W1.43,6.961,23.061,218.516,-18.784,13.725,1.68,79.304,-0.196,0.444,2259.024,5.404,6.958,0.261
Co1 Fe1 Hf1 Mo1 Nb1,7.2,20,199.6,-17.76,13.381,1.31,69,-0.103,0.222,2346.2,5.816,7.293,0.167
Co1 Cr1 Mn1 Nb1 Pd1 Ti1 W1 Zn1,7.875,11.375,193.375,-18.438,17.288,1.473,69.375,-0.151,0.381,2046.716,4.746,7.658,0.173
Fe1.13 Mo1.72 Ti0.69,6.249,10.59,249.816,-6.987,8.596,1.601,93.056,-0.054,0.099,2363.514,5.625,7.303,0.117
Au1 Co1 Fe1 V1 Zr1,6.2,22.2,144,-27.2,13.381,1.094,54.8,-0.077,0.16,1845.466,4.862,7.678,0.318
Co1.84 Cr0.86 Cu0.51 Fe1.08 Mo1.33 Ta1.12 V0.51,7.804,13.839,224.807,-6.941,15.444,1.158,84.971,-0.037,0.076,2265.665,5.36,7.519,0.088
Al0.55 B0.1 Mo1.49 Pd1.36 Ti0.36,6.718,50.355,202.08,-32.009,11.045,1.663,74.079,-0.151,0.325,2136.854,5.083,7.382,0.128
Al1.79 Au1.98 Co0.14 Fe1.69 Nb1.6 V1.95,5.224,15.517,118.381,-21.43,13.807,1.438,46.073,-0.091,0.209,1779.649,4.793,7.367,0.271
Co1.24 Cr1.35 Fe1.53 Nb1.39 Ni1.92 Re0.17 V0.19,7.763,16.302,204.316,-14.77,14.489,1.104,78.76,-0.054,0.122,2060.232,4.997,7.405,0.031
B1 Cr1 Ni1 Pd1 Sn1 Ti1,6.167,45.833,202.667,-33,14.897,2.17,77.833,-0.19,0.433,1755.188,4.358,7.536,0.1
Al0.75 Cr0.16 Fe1.33 Mn0.57 Ni0.43 Zr0.69,6.336,29.55,163.229,-25.505,13.64,1.508,56.637,-0.11,0.23,1662.779,4.312,7.171,0.076
Fe1.36 Nb0.82,6.872,12.477,171.128,-15.018,5.505,1.152,65.45,-0.051,0.106,2164.202,5.518,7.472,0.025
C1 Cr1 Fe1 Nb1 Ni1 Ti1,6.167,53.5,326.833,-53.444,14.897,1.9,87.5,-0.116,0.263,2387.5,5.435,7.859,0.23
Al1 Co1 Cr1 Fe1 Ti1 V1 Zr1,5.571,26,158.143,-24.082,16.178,1.633,61.757,-0.101,0.219,1849.21,4.689,6.963,0.057
Fe1 Mo1 Ni1 Ti1 Zr1,6.4,20.8,190,-23.52,13.381,1.624,71,-0.086,0.187,2100.8,5.384,7.221,0.168
Co1.14 Fe0.82 Mo0.98,7.721,9.054,249.558,-3.761,9.06,1.156,91.952,-0.023,0.047,2155.993,5.169,7.626,0.041
Cr0.6 Cu0.99 Hf1.37 Re0.96 V0.93 Zr1.53,7.332,16.56,188.201,-15.88,14.549,1.319,67.758,-0.208,0.59,2302.834,5.749,7.061,0.128
Al1 Co1 Hf1 Mn1 Nb1 Ni1,7,25.833,154.333,-30.444,14.897,1.555,46.717,-0.088,0.196,1867.412,4.783,7.087,0.086
Co1.84 Nb0.36,8.345,17.564,191.982,-13.686,3.705,1.077,68.945,-0.022,0.039,1928.691,4.91,7.697,0.021
Co1 Cu1 N1 Nb1 Ni1 V1 Y1 Zr1,6.5,67.5,153.75,-75.75,17.288,1.702,51.038,-0.044,0.094,1722.115,5.135,8.017,0.548
Al0.18 Co1.02 Cu0.73 Ta0.81 V1.02,8.016,14.213,160.08,-9.952,12.49,1.2,61.309,-0.024,0.043,2088.861,5.215,7.454,0.053
Co1.23 Cu1.27 Fe1.86 Ni1.0 Ti1.26 V1.52,7.686,16.34,166.505,-10.268,14.736,1.331,64.397,-0.026,0.053,1813.18,4.474,7.457,0.039
Al1 Fe1 Mo1 Si1 Ti1 Zr1,4.833,26.5,154.5,-42.556,14.897,2.415,58.717,-0.13,0.308,1899.412,5.078,7.1,0.145
Co1 Cr1 Cu1 Mo1 Nb1 Ti1 Zr1,6.429,21,180.286,-10.694,16.178,1.454,67.614,-0.113,0.252,2145.824,5.393,7.099,0.13
Cu0.64 Fe1.79,8.79,1.473,189.667,10.088,4.793,1.037,73.124,-0.021,0.041,1691.631,4.072,7.856,0.002
Al1.61 Fe0.92,4.818,5.091,121.273,-10.182,5.45,2.297,46.555,-0.118,0.331,1252.572,3.695,6.683,0.022
Fe1 Hf1 Ni1 Ti1 V1,7,21,159.8,-23.36,13.381,1.58,57.8,-0.055,0.113,2033.8,4.98,7.188,0.094
Al1 Co1 Cr1 Fe1 Ti1 Zr1,5.667,26,163.167,-27.778,14.897,1.755,62.55,-0.114,0.248,1793.578,4.585,7,0.067
Al1 Fe1 Mo1 Nb1 Si1 Ti1,5,20.167,156.333,-35.333,14.897,2.387,59.55,-0.122,0.288,2003.078,5.252,7.121,0.093
